pNPP (mM),slopes,initial velocities
20.0,0.5140907641142858,34.27271760761905
10.0,0.5031401632390977,33.54267754927318
7.0,0.4704346427639096,31.362309517593975
4.0,0.4170212341052633,27.801415607017557
2.0,0.34244478125714295,22.82965208380953
1.0,0.24625953559097755,16.417302372731836
0.7,0.20284295232781954,13.522863488521303
0.4,0.1364430576421053,9.09620384280702
0.2,0.07644213958496243,5.096142638997495
0.1,0.07806979615939849,5.204653077293233
0.05,0.022319351245112782,1.4879567496741855
